"AGS";"Technologie";"Flaechenart";"Flaechen Gruppe";"Flaechen Gruppe Name";"Verfügbarkeit"
"13074";"5G2";Landstraßen;30;Infrastruktur;39.56
"13074";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;37.98
"13074";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;20.57
"13074";"5G2";Wasserstraßen;30;Infrastruktur;58.34
"13074";"5G2";Wohnbaufläche;20;Gemeindefläche;66.84
"13074";LTE10;Autobahn;30;Infrastruktur;100.00
"13074";LTE10;Bahnstrecken;30;Infrastruktur;100.00
"13074";LTE10;Bundesstraßen;30;Infrastruktur;100.00
"13074";LTE10;Gewässer;20;Gemeindefläche;100.00
"13074";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13074";LTE10;Kreisstraßen;30;Infrastruktur;100.00
"13074";LTE10;Landstraßen;30;Infrastruktur;100.00
"13074";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13074";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13074";LTE10;Wasserstraßen;30;Infrastruktur;100.00
"13074";LTE10;Wohnbaufläche;20;Gemeindefläche;100.00
"13074";LTE2;Autobahn;30;Infrastruktur;100.00
"13074";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"13074";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"13074";LTE2;Gewässer;20;Gemeindefläche;100.00
"13074";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13074";LTE2;Kreisstraßen;30;Infrastruktur;100.00
"13074";LTE2;Landstraßen;30;Infrastruktur;100.00
"13074";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13074";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13074";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"13074";LTE2;Wohnbaufläche;20;Gemeindefläche;100.00
"13074";LTE6;Autobahn;30;Infrastruktur;100.00
"13074";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"13074";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"13074";LTE6;Gewässer;20;Gemeindefläche;100.00
"13074";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13074";LTE6;Kreisstraßen;30;Infrastruktur;100.00
"13074";LTE6;Landstraßen;30;Infrastruktur;100.00
"13074";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13074";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13074";LTE6;Wasserstraßen;30;Infrastruktur;100.00
"13074";LTE6;Wohnbaufläche;20;Gemeindefläche;100.00
"13074";Mobil Alle;Autobahn;30;Infrastruktur;100.00
"13074";Mobil Alle;Bahnstrecken;30;Infrastruktur;100.00
"13074";Mobil Alle;Bundesstraßen;30;Infrastruktur;100.00
"13074";Mobil Alle;Gewässer;20;Gemeindefläche;100.00
"13074";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13074";Mobil Alle;Kreisstraßen;30;Infrastruktur;100.00
"13074";Mobil Alle;Landstraßen;30;Infrastruktur;100.00
"13074";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13074";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13074";Mobil Alle;Wasserstraßen;30;Infrastruktur;100.00
"13074";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;100.00
"13075";"5G2";Autobahn;30;Infrastruktur;28.90
"13075";"5G2";Bahnstrecken;30;Infrastruktur;54.08
