AGS,year,n_rows,prev_year_max,next_year_max,dropped
07331027,2013,3,0,0,TRUE
07331027,2014,3,0,94.93,TRUE
07331028,2010,2,NA,0,TRUE
07331028,2011,2,0,0,TRUE
07331028,2012,2,0,0,TRUE
07331028,2013,3,0,0,TRUE
07331028,2014,3,0,100,TRUE
07331029,2010,2,NA,0,TRUE
07331029,2011,2,0,0,TRUE
07331029,2012,2,0,0,TRUE
07331029,2013,3,0,0,TRUE
07331029,2014,3,0,98.78,TRUE
07331030,2010,2,NA,0,TRUE
07331030,2011,2,0,0,TRUE
07331030,2012,2,0,0,TRUE
07331030,2013,3,0,0,TRUE
07331030,2014,3,0,100,TRUE
07331031,2010,2,NA,0,TRUE
07331031,2011,2,0,0,TRUE
07331031,2012,2,0,0,TRUE
07331031,2013,3,0,0,TRUE
07331031,2014,3,0,100,TRUE
07331032,2010,2,NA,0,TRUE
07331032,2011,2,0,0,TRUE
07331032,2012,2,0,0,TRUE
07331032,2013,3,0,0,TRUE
07331032,2014,3,0,100,TRUE
07331033,2010,2,NA,0,TRUE
07331033,2011,2,0,0,TRUE
07331033,2012,2,0,0,TRUE
07331033,2013,3,0,0,TRUE
07331033,2014,3,0,100,TRUE
07331034,2010,2,NA,0,TRUE
07331034,2011,2,0,0,TRUE
07331034,2012,2,0,0,TRUE
07331034,2013,3,0,0,TRUE
07331034,2014,3,0,100,TRUE
07331035,2010,2,NA,0,TRUE
07331035,2011,2,0,0,TRUE
07331035,2012,2,0,0,TRUE
07331035,2013,3,0,0,TRUE
07331035,2014,3,0,100,TRUE
07331036,2010,2,NA,0,TRUE
07331036,2011,2,0,0,TRUE
07331036,2012,2,0,0,TRUE
07331036,2013,3,0,0,TRUE
07331036,2014,3,0,100,TRUE
07331037,2010,2,NA,0,TRUE
07331037,2011,2,0,0,TRUE
07331037,2012,2,0,0,TRUE
07331037,2013,3,0,0,TRUE
07331037,2014,3,0,100,TRUE
07331038,2010,2,NA,0,TRUE
07331038,2011,2,0,0,TRUE
07331038,2012,2,0,0,TRUE
07331038,2013,3,0,0,TRUE
07331038,2014,3,0,100,TRUE
07331039,2010,2,NA,0,TRUE
07331039,2011,2,0,0,TRUE
07331039,2012,2,0,0,TRUE
07331039,2013,3,0,0,TRUE
07331039,2014,3,0,100,TRUE
07331041,2010,2,NA,0,TRUE
07331041,2011,2,0,0,TRUE
07331041,2012,2,0,0,TRUE
07331041,2013,3,0,0,TRUE
07331041,2014,3,0,97.75,TRUE
07331042,2010,2,NA,0,TRUE
07331042,2011,2,0,0,TRUE
07331042,2012,2,0,0,TRUE
07331042,2013,3,0,0,TRUE
07331042,2014,3,0,100,TRUE
07331043,2010,2,NA,0,TRUE
07331043,2011,2,0,0,TRUE
07331043,2012,2,0,0,TRUE
07331043,2013,3,0,0,TRUE
07331043,2014,3,0,100,TRUE
07331044,2010,2,NA,0,TRUE
07331044,2011,2,0,0,TRUE
07331044,2012,2,0,0,TRUE
07331044,2013,3,0,0,TRUE
07331044,2014,3,0,100,TRUE
07331045,2010,2,NA,0,TRUE
07331045,2011,2,0,0,TRUE
07331045,2012,2,0,0,TRUE
07331045,2013,3,0,0,TRUE
07331045,2014,3,0,100,TRUE
07331046,2010,2,NA,0,TRUE
07331046,2011,2,0,0,TRUE
07331046,2012,2,0,0,TRUE
