AGS;100_1;100_2;100_6;100_16;100_30;100_50;200_1;200_2;200_6;200_16;200_30;200_50
13075089;92;92;92;91;61;11;76;66;66;0;0;0
09564000;100;100;100;99;97;93;100;100;100;6;4;4
12065276;97;97;96;95;86;31;75;75;68;0;0;0
09679453;100;100;0;0;0;0;100;100;100;0;0;0
09471461;0;0;0;0;0;0;0;0;0;0;0;0
09671160;98;98;97;95;79;40;99;99;98;0;0;0
15090220;89;89;89;86;86;84;88;86;45;0;0;0
01056004;99;99;99;96;73;47;100;100;100;0;0;0
03351005;99;99;99;98;97;82;100;100;100;95;95;95
01057088;51;50;37;37;37;33;100;100;100;99;0;0
09176111;91;89;71;65;28;6;88;88;80;0;0;0
03357045;98;97;95;91;82;48;100;100;99;0;0;0
09190118;98;98;91;82;80;79;99;99;99;0;0;0
08226049;99;99;99;97;66;57;100;100;100;0;0;0
09471120;99;99;98;93;90;74;95;95;94;0;0;0
09771160;99;99;99;99;93;71;96;96;90;0;0;0
07137077;95;95;95;95;74;6;100;100;100;99;0;0
06435015;100;100;99;99;99;94;100;100;100;2;0;0
01058012;98;97;91;83;80;77;100;96;95;0;0;0
07331061;100;100;100;100;100;100;100;100;100;0;0;0
12066304;99;99;99;96;90;81;98;97;95;7;0;0
07231031;85;81;81;81;81;52;100;100;100;0;0;0
09780131;91;91;88;88;86;72;100;100;100;94;0;0
09678190;100;100;99;99;99;48;100;100;100;0;0;0
05358056;99;99;98;98;86;85;99;99;98;0;0;0
09776115;96;96;88;64;61;49;100;99;74;0;0;0
01061078;92;91;91;91;91;91;84;84;83;0;0;0
05378032;99;99;98;96;94;88;100;99;97;0;0;0
07233019;92;86;75;75;75;75;98;98;98;0;0;0
01060090;91;91;17;3;3;3;100;100;100;0;0;0
03251006;88;87;66;12;6;2;96;96;96;0;0;0
09675166;100;100;96;69;69;69;100;100;100;0;0;0
01054100;93;92;65;31;24;7;95;94;94;0;0;0
13074064;73;64;1;1;1;1;93;93;81;0;0;0
09576137;100;100;100;98;95;80;100;100;100;44;7;7
14625230;95;95;95;92;91;87;95;94;89;0;0;0
07132059;99;99;99;10;8;7;85;84;82;0;0;0
08215099;100;100;94;59;16;14;100;100;100;0;0;0
14627220;95;95;93;90;89;65;100;100;99;0;0;0
03454053;95;92;82;80;75;58;100;100;100;0;0;0
12066272;100;100;99;78;56;16;100;100;100;0;0;0
